icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
a809f8,JIA9950 ,United States,1749938518.0,1749938518,-76.9103,36.4032,4983.48,False,155.91,81.84,-5.53,,5234.94,2110,False,0
3c656c,DLH409  ,Germany,1749938518.0,1749938518,-75.4029,39.3176,10668.0,False,278.66,56.75,0.0,,11209.02,0547,False,0
a7b0c4,JBU1016 ,United States,1749938518.0,1749938518,-76.6373,38.5087,9395.46,False,245.53,358.08,-4.55,,9921.24,5775,False,0
a94c2a,PDT5823 ,United States,1749938518.0,1749938518,-77.8949,38.5818,6416.04,False,201.1,199.27,13.33,,6736.08,3001,False,0
a1b535,UAL30   ,United States,1749938514.0,1749938514,-74.1712,40.6909,,True,3.34,205.31,,,,,False,0
a5dee3,ASA477  ,United States,1749938518.0,1749938518,-74.7757,40.9227,1783.08,False,145.62,125.66,0.0,,1828.8,4104,False,0
abb537,ASH6026 ,United States,1749938518.0,1749938518,-77.7781,38.7058,1508.76,False,146.62,89.4,-0.33,,1577.34,6633,False,0
adf51c,N999LR  ,United States,1749938517.0,1749938517,-74.2464,39.6135,1485.9,False,129.08,27.28,0.33,,1524.0,1155,False,0
a1fd04,N227WP  ,United States,1749938517.0,1749938518,-80.0816,36.1527,1554.48,False,133.76,131.41,-11.38,,1615.44,6501,False,0
a1b4b2,AAY2756 ,United States,1749938518.0,1749938518,-80.5291,38.3572,10279.38,False,227.68,189.89,2.6,,10828.02,,False,0
aa5887,N766HF  ,United States,1749938518.0,1749938518,-77.6342,38.9723,449.58,False,41.57,40.99,1.3,,480.06,,False,0
aa67c6,N77ME   ,United States,1749938518.0,1749938518,-76.8232,39.4996,1196.34,False,128.62,270.46,0.0,,1234.44,2626,False,0
a0b820,UAL1728 ,United States,1749938518.0,1749938518,-78.0234,38.9026,3611.88,False,158.9,290.66,14.31,,3771.9,3635,False,0
a913d6,UAL967  ,United States,1749938466.0,1749938466,-74.1817,40.699,,True,5.14,182.81,,,,3046,False,0
a3183d,EDV5241 ,United States,1749938518.0,1749938518,-77.1733,39.3098,8534.4,False,224.16,219.13,0.0,,8976.36,1136,False,0
ac8289,JBU263  ,United States,1749938518.0,1749938518,-78.7792,40.1489,10363.2,False,217.04,280.38,-0.33,,10858.5,2665,False,0
a4380f,FFT48   ,United States,1749938517.0,1749938517,-75.4277,37.9513,6736.08,False,211.28,353.43,-5.2,,7086.6,5073,False,0
ab7522,,United States,1749938371.0,1749938374,-77.0627,39.5966,335.28,False,39.13,298.25,0.0,,358.14,,False,0
ac2bb9,ASH6073 ,United States,1749938457.0,1749938465,-77.4538,38.9466,,True,0.45,180.0,,,,,False,0
a8e0a5,NKS2122 ,United States,1749938517.0,1749938517,-79.0691,27.008,7917.18,False,217.75,31.47,7.48,,8397.24,,False,0
a89234,UAL242  ,United States,1749938518.0,1749938518,-77.4387,38.9464,,True,3.34,112.5,,,,,False,0
a10d1e,EJA167  ,United States,1749938518.0,1749938518,-77.0931,39.3166,4130.04,False,204.07,63.5,16.91,,4328.16,5352,False,0
